Account_name,Score,Title,Location,Date,Product,Purchase_Status,Review_content,Like
Christina Whitmire ,5.0 out of 5 stars,AMAZING,the United States,7-Jan-21,Color: Ifloor3,Verified Purchase,"I didn’t know I could fall in love with a vacuum but here we are! This is one of the best investments Iv ever made. Works great on my laminate floors no streaks, not sticky floor just amazing. And the self cleaning option is so great! 10 stars!!",
Chrissy Clark ,5.0 out of 5 stars,You must purchase this,the United States,18-Feb-21,Color: Ifloor3,Verified Purchase,"Love love love my tineco. I usually run it on my floors 2-3 times a week. And vacuum with my bissell for my carpets. The suction is great! I love that it’s cordless and it does a great job on LVP. It’s relatively easy to clean out but you have to do it with every use. It’s not something you can just leave ready to roll when needed. It is great for kids messes, dog hair and even construction dust as we have settled into a new home. Worth every penny!",
L. Sisco,3.0 out of 5 stars,I want to love it.,the United States,25-Aug-21,Color: Floor One S3,Verified Purchase,"I love the idea of this vacuum/mop! The suction is great and it cleans up quickly. My problem is that if I don’t immediately clean the tank, the brush roller and the debris channel after each use, it smells awful!!! I want to be able to use it for quick clean ups and it’s definitely not quick if I have to deep clean the unit every time I use it.",
Joni,5.0 out of 5 stars,Amazing,the United States,27-Aug-21,Color: Floor One S3,Verified Purchase,"Amazing. Love this thing. Floors ‘looked clean’, but obviously were not! Dog hair and all. This is just what I needed.",One
Carrie,3.0 out of 5 stars,Only 3,the United States,29-Aug-21,Color: Floor One S3,Verified Purchase,"I liked this product, but it already started to malfunction after only six months.  I did use it a lot, but now it just keeps repeating, “clean water tank,” even though I emptied it. The glitch keeps me from being able to use it.  Sad.",
Bridgett Johnson,5.0 out of 5 stars,Absolutely love,the United States,5-May-21,Color: Ifloor3,Verified Purchase,"My floors have never been so clean. i thought just sweeping and mopping was enough to have a clean floor but it was insane how dirty the water was after the first use. I wish the battery lasted a little longer but other than that, i would highly recommend. this was a game changer in clean floors",
Cmill7,4.0 out of 5 stars,Love it!,the United States,9-Sep-21,Color: Floor One S3,Verified Purchase,"Easy to use and seems to really clean!I love the self-cleaning cycles but you still have to manually clean the water tanks, HEPA filter, and brush roller after every few uses.",
Jenny,5.0 out of 5 stars,Upgrade for sure,the United States,10-Jul-21,Color: Ifloor3,Verified Purchase,"I’ve owned the Original Tineco for about a year and a half and was so-so on its results.  I ordered this replacement (it stopped sucking up water) on prime day for $200.  I was very impressed with the paper of this Tineco over the original.  It self propels, the roller/scrubber is a different material-somewhat like microfiber.  My floors were spotless without streaks.  Highly recommend.",
Debbie,5.0 out of 5 stars,Worth every penny,the United States,7-Jun-21,Color: Floor One S3,Verified Purchase,I'm way too cheap to buy an expensive cleaner but I bit the bullet and bought this one. I've tried so many and they're more work to clean the machine than the floors they are supposed to clean. This machine vacuums and mops at the same time. It sounds hard to believe but it does. I have all tile and hardwood floors. I can do my 2500 square foot house in one charge if I focus on high traffic areas. It talks to you and tells you everything you need to know so clean up is easy. I love it.,
Amanda Washburn,1.0 out of 5 stars,Extreme hassle,the United States,2-Jul-21,Color: Ifloor3,Verified Purchase,"This is literally the only product I’ve ever bothered to return to Amazon. It has like 20 min of run time, pain in the neck to clean/refill, not worth the hassle. I’d way rather vacuum and mop separately than deal with the hassle of this thing.",
Mady,5.0 out of 5 stars,Best investment,the United States,14-Oct-20,Color: Floor One S3,Verified Purchase,So light weight and works like a charm. Use it on my floors and carpets. Have multiple dogs in the house.,One
TNT M.,5.0 out of 5 stars,Best invention ever!,the United States,9-Sep-21,Color: Floor One S3,Verified Purchase,"Loooove this floor cleaner! Best purchase ever. Super easy to use, easy to clean, minimal parts, and vacuums/washes at the same time! Seriously love this thing. Finding excuses to wash my floor all the time now lol 😂",
Julie Ann Soriano,5.0 out of 5 stars,Definitely recommend!,the United States,26-Aug-21,Color: Floor One S3,Verified Purchase,I wasn’t sure how well this was going to work. The reviews were good enough that I figured I’d try it out. This is the best vacuum mop! It works great. It’s insane how much it picks up.,
monica casales,5.0 out of 5 stars,Must buy Tineco floor one S3,the United States,8-Jun-21,Color: Floor One S3,Verified Purchase,I'm ready to start selling this vacuum. This is the best investment I've ever made.,One
David,1.0 out of 5 stars,Not what I was expecting… get something cheaper,the United States,22-Jun-21,Color: Floor One S3,Verified Purchase,This product it’s just ok. For the price it was I was expecting more. I have not being able to connect it to my phone and I tried to contact them but with my work schedule it’s hard to get a hold of someone.,One
Beth,5.0 out of 5 stars,Amazing,the United States,24-Jul-21,Color: Floor One S3,Verified Purchase,This is the best purchase I've made all year!!  Works great on our hardwood and tile.  Self cleaning is AMAZING.  Love the ease and quickness of cleaning with it.  It basically wants to jump out of your hands and go on its own.,
Aryga khachatorian,5.0 out of 5 stars,Highly recommend,the United States,20-Oct-21,Color: Floor One S3,Verified Purchase,I have bought two of this  one for me one for a gift It is actually a very good product to have when you don’t want to Vaccum then mop You could kill two birds with one stone and I love that the only thing is it does can’t do very deep cleaning so I would recommend to do your mop once a month and in between once a week you could actually use this vacuum it works really really well and very time saving,
Kayla Segura,2.0 out of 5 stars,It is okay does the job but not worth 300!,the United States,5-Dec-20,Color: Ifloor3,Verified Purchase,The dirty water tank keeps saying it is full when it isn't. It doesn't pickup well like advertised. This is good for a small house but you wouldn't be able to get through a room without having the self clean light go on since I do very little of the room and it says it needs to be cleaned so if you have a bigger house definetly do not go with it. I dont think it was worth the 300 something I paid for it.,
Amazon Customer,3.0 out of 5 stars,Received a Used Item,the United States,2-Mar-21,Color: Floor One S3,Verified Purchase,"I was extremely disappointed to find that the product I received was used. It had dog hair in the filter and water in the tank upon delivery.I am satisfied with the product itself. Our dogs track in a lot of mud from outside and we have a one year old who likes to throw his food on the ground whenever he’s done eating. The machine lives up to my expectations, I just wish I received what I paid for-a new item.",
Jose,5.0 out of 5 stars,The best mop vac combo out there.,the United States,14-Nov-20,Color: Floor One S3,Verified Purchase,"If I could give this product 6 stars I would. Although more expensive than its competitors Hoover and Bissell, I have owned both, and this is by far the best mop vac combo I have ever owned. The suction is great and the floors are clean! I thought not having a battery removable battery would be a problem but I have a 4500 sq ft home and use it on max suction and it has never ran out of battery. I use this every day and am so happy with it.",
Paula E,5.0 out of 5 stars,Better than crosswave cordless max !,the United States,7-Feb-21,Color: Floor One S3,Verified Purchase,Literally the best cleaning device ever! SO much better than the original crosswave or the cordless max. After cleaning the whole house the battery still had 30% left. Wiped the floor with a paper towel after to see and it was barely even dirty. Highly recommend !!!,
Zachary,5.0 out of 5 stars,Game changer!!!,the United States,28-Jun-21,Color: Floor One S3,Verified Purchase,"Just got our Tineco ifloor 3 and have used it twice…but I’m already obsessed!! It was really easy to set up for the first time, use and clean. This is going to be SUCH a time saver in our house and was definitely worth the price. It has been able to handle all our pet hair, dog drool and day-to-day dirtiness with ease and I’m very pleased",
Jennifer,5.0 out of 5 stars,Love it!,the United States,25-Nov-20,Color: Ifloor3,Verified Purchase,"Mine wouldn't work when I first got it, but customer service is very easy to work with. I love the fact that I won't be cleaning my floors on my hands and knees anymore. I've tried it on my hardwoods and linoleum,  but haven't tried it on the tile yet.",
Chara Yochum,5.0 out of 5 stars,Must buy,the United States,31-Oct-20,Color: Floor One S3,Verified Purchase,"My tile floors have never felt cleaner. I have even noticed the grout starting to get clean as well. My only complaint I guess is that I wish the water take was a little bigger, I have a lot of tile and have to refill twice. I do love that it is wireless!!!",
Leah Hinders,5.0 out of 5 stars,Best purchase I've ever made,the United States,27-Dec-20,Color: Floor One S3,Verified Purchase,"I'm not sure how I managed before this beautiful machine. With 4 kids, a dog, 3 cats, and 4 guinea pigs, we need heavy duty cleaning to keep up with our floors. I am so impressed at how clean my floors get. Also, customer service is amazing!",
Ade,1.0 out of 5 stars,Don't buy,the United States,6-Oct-21,Color: Floor One S3,Verified Purchase,"Don't buy this junk , I had it for almost a month and not it's not charging . I contacted customer service and they said they will arrange a replacement which will take 14.days and they first must receive the defective vacuum . Very poor customer service and product quality not ready for prime time .",
Amazon Customer,5.0 out of 5 stars,Perfect!,the United States,27-Jan-21,Color: Ifloor3,Verified Purchase,I absolutely love this! I did the wipe test on my floors that rarely ever seemed clean and it was perfect! I was afraid to use it in the room that my dog is usually in but tried it and was amazed! It picked up sooo much hair and my floors came sooo clean!,
Tracie Humphries,5.0 out of 5 stars,Awesomeness ❤️,the United States,16-Jun-21,Color: Floor One S3,Verified Purchase,"This is such a great product. It makes cleaning the floor fun!! My floors are spotless now and I hated mopping. It is such a timesaver. It’s self propelling and super easy to use., If you’re undecided, give this little baby a try.  I don’t think you’ll regret it!",
A. Ramsay,5.0 out of 5 stars,Pet owners dream!,the United States,18-Dec-20,Color: Ifloor3,Verified Purchase,This is worth every penny for keeping my hardwood floors cleanTrigger Warning ⚠️ for sensitive stomachs*******Just had to clean up 4am dog diarrhea. This is worth every damn penny 😂,
greg mcclellan,5.0 out of 5 stars,Must have cleaner,the United States,7-Aug-21,Color: Floor One S3,Verified Purchase,"Had the Tineco for over 6 months. If you have dogs, this is the device you need,. It cleans well, takes little time or effort to clean 1000 sq feet. Works well on hardwoods and area rugs. Self Cleaning also takes care of of that mess as well. I purchased this over the Bissell as Tineco seemed to be a company more directed towards more advanced engineering and software --- and the software automation of the Tineco is pretty darn good.",
LB,5.0 out of 5 stars,Best investment ever! Especially with kids.,the United States,1-Feb-21,Color: Ifloor3,Verified Purchase,"I’ve had this for over a month now and amcoming back to write this review which I NEVER do. I have toddler twin boys who spill things, track mud or dirt and I have absolutely LOVED having this to easily clean up their messes. I use it several times a day, it’s SO easy to clean and use. No hassle. My only regret is not buying it sooner. I just ordered the cordless stick vacuum for this brand because I love how simple it is to use and so efficient. It really does make cleaning so quick! I would highly recommend this product. Especially if you have messy kids! ;)",
ViennaW,5.0 out of 5 stars,lifesaver,the United States,26-Sep-21,Color: Floor One S3,Verified Purchase,Highly recommended if you have hard surface like tile or hardwood floors. I cannot imagine life without Tineco S3 now. none of other mop/vacuum we tried came close to this one.,
Heather Anderson,4.0 out of 5 stars,Buy it if you can!,the United States,13-Dec-20,Color: Floor One S3,Verified Purchase,"Best cleaning tool I've bought in years. Arrived weeks earlier than expected. Did not expect this thing to do as well with pet hair as it does! I do wish that it could get closer to baseboards etc but I can handle a bit of manual work!The only thing I would change would be larger tanks and the ability to shorten the handle. I'm 5'3"" and it's just a bit long for me.",
Jana,5.0 out of 5 stars,Great!,the United States,8-Oct-20,Color: Floor One S3,Verified Purchase,"Received this item a couple of days ago and was a little skeptical at first especially for the price, but I will say it was worth it! It works great and I love that the app and the assistant will tell you whats needed. Overall great experience with a great product!",
Heather,5.0 out of 5 stars,Best ever,the United States,11-Jun-21,Color: Ifloor3,Verified Purchase,"Best gift I have received. I was so tired of buying mops, steamers and whatever gadget you can think of to keep my floors clean. Not only does it perform in  Cleaning & suction but also easy to use, charge station & self cleaning all easy steps.",
Molli Montgomery,5.0 out of 5 stars,BUY IT!,the United States,28-May-21,Color: Ifloor3,Verified Purchase,Listen up if you hate moping this is what you need up in your life,One
theresa,3.0 out of 5 stars,Love hate relationship,the United States,10-Aug-21,Color: Ifloor3,Verified Purchase,I want to love this more then I do. Don’t get me wrong it’s great. Spilled an entire cup of bbq sauce in front of my fridge for this out and the mess was cleaned up super fast.  But. It’s so hard to keep from having an oder. I self clean it. I wash rollers and set out to dry but it still has a little smell. I use to use it every day. And now. I’ve gone back to just using my reg vacuum and then using the mop after wards. Yes I love it. But also I’m not the biggest fan. I wish I loved it more.,
Rebekah B,3.0 out of 5 stars,Mixed sentiments about this product,the United States,11-Aug-21,Color: Floor One S3,Verified Purchase,"Outstanding item, as far as lightweight and the functions on it, however it leaks water all over my floor when not in use if any is left in the clean water tank and it is brand new",
zeeshan sharif,5.0 out of 5 stars,Best house cleaning purchase 👌,the United States,27-Jun-21,Color: Floor One S3,Verified Purchase,Probably the best purchase I've made for our new place. We have engineered hardwood flooring and this is so easy to use we run it every day. I hardly use my regular vacuum. It maneuvers easily and feels like it is self propelling. I was having a hard time prior to this with vacuuming then mopping but has cut down our cleaning time significantly. The water tank is small so I do have to refill it once while doing the floors downstairs. The battery time is theoretically limited but I've never ran out of battery life while cleaning.,
slbennett,5.0 out of 5 stars,Great for immediate clean ups,the United States,18-Jan-21,Color: Ifloor3,Verified Purchase,"Love this! It is a must have for families with littles and pets. This thing eats green beans, rice, other foods, cat hair, and cat puke like nothing else! I should have bought it ages ago!  It's great for immediate clean up, but if it's dried on, you'll need to spray something on it ahead of time and then it will destroy it! I only wish the water tanks could hold more. So impressed.",
Paul Bunyan,5.0 out of 5 stars,Pretty good cleaner,the United States,12-Apr-21,Color: Floor One S3,Verified Purchase,I used this for the first time tonight.  It does a good job of cleaning.  It is fairly straightforward to set up.  Seems to use a lot of water and floor is definitely wet after rolling.  glad it talks to me.,
Amazon Customer,1.0 out of 5 stars,Broken after a few weeks,the United States,30-Jul-21,Color: Ifloor3,Verified Purchase,"So the pros: while this product was working, it was wonderful! I loved it and felt like it changed the game in cleaning my hardwood floors.The issue is that it stopped working after a handful of uses. It wouldn’t turn on at all. I had registered my product, and attempted to claim that warranty, but the process was frustrating and time consuming, and I ended up just calling it a loss. I’m incredibly disappointed, and wish the quality of the product were better.",
skyboxer,5.0 out of 5 stars,Worth the money,the United States,15-Feb-21,Color: Floor One S3,Verified Purchase,Have owned since Christmas and use it on laminate flooring. It's salt tracking weather now and it works well for that but requires frequent tank empty + refills now that the floor gets so filthy. That's a drag but it means the unit is detecting the increased filth and had reacted to it. This is what I bought it for and it's doing the job.,
Jaime Fiore,5.0 out of 5 stars,Worth every penny,the United States,25-Apr-21,Color: Floor One S3,Verified Purchase,"Worth every penny! I was against my wife buying this because it was so expensive but after using it I was really impressed. I know it's pricey, but in this case you pay for what you get. Easy to use, easy to clean and very powerful for being battery operated.",
Sherry Zerbonia,5.0 out of 5 stars,Well worth the money!,the United States,28-Apr-21,Color: Ifloor3,Verified Purchase,"This exceeded my expectations! It does a phenomenal job on hardwood and our house is primarily hardwood. I wasn't as impressed on the tile, as it doesn't get into the grout well but overall the tile is still very clean! It's so light and easy to take apart to clean. I couldn't be happier with this purchase!",
Ted,5.0 out of 5 stars,Worth every penny,the United States,3-Jan-21,Color: Floor One S3,Verified Purchase,"Really simple to use, great for quick cleanups.  Use it daily after dinner to clean up after a 2 year old.  Light weight, easy to maneuver. Never thought I would spend this much on a floor cleaner, but when you are using it daily you'll be glad you spent the extra money on something that does such a great job with 0 effort.  Extremely easy to maintain and prevents it from smelling. Was torn between this and the bissel crosswave, and im glad I went with this one.",
Valerie ,5.0 out of 5 stars,Amazing!,the United States,30-Jun-21,Color: Floor One S3,Verified Purchase,"This is Amazing!!!!! I am so glad with the purchase. I'll admit I had a hard time spending that money on a mop/vacuum but so worth it! I had it for a week and I am so in love! I hope it hopes up, time will tell. After doing my nephews camper floor, I was sold!!",
Amazon Customer,5.0 out of 5 stars,Great vac and mop all in one!,the United States,30-Jun-21,Color: Floor One S3,Verified Purchase,"This is great for an all over hardwood floor clean. I no longer have to sweep, vacuum and mop. I get it all done at once. The batter does last around 45 min but can get one floor of my home done at once. It picks up dog hair and is easy to clean.",
Jessie,5.0 out of 5 stars,Easy use for a busy mom!,the United States,15-Mar-21,Color: Ifloor3,Verified Purchase,"I have a hard time keeping my floors mopped because it’s just a hassle for myself to get through all the steps of picking up, sweeping, and then mopping while my children run around and make more messes. This has changed my floor care for sure! I can’t say it’s for a person who wants a meticulously clean floor, but if you are struggling with dirt and little particles of who knows what on your floor(thanks kids) and just don’t have the time/energy to keep up with it, this is a great purchase to have clean floors more often. I’m definitely happy with this purchase!",
Ann Marie Navan,5.0 out of 5 stars,"great for quick pickups, a life saver for pet accidents",the United States,15-Mar-21,Color: Ifloor3,Verified Purchase,"Product is super easy to use.  Suction is great. I have a small elderly dog who frequently urinates in the house. This has been a god send for me.  No more paper towels and wringing mops.  My only concern is that the cleaning solution is always out of stock, and they tell us to only use their cleaning solution.  I have found one that I believe is similar and am using that.",
Momof3,5.0 out of 5 stars,Such a great buy,the United States,30-Aug-21,Color: Ifloor3,Verified Purchase,Makes cleaning up quick and easy. Only downfall is it can’t get quite to the edge of the wall. Use this for day to day cleaning and then once a month deep scrub with a mop. Never had cleaner floors!,
Jlcoupe,5.0 out of 5 stars,Easy to use.,the United States,30-Sep-21,Color: Ifloor3,Verified Purchase,.Follow the instructions.Keep clean and dry after every use. Agreat Machine. Beats the Hands and Knee method.,One
Jane Campbell,5.0 out of 5 stars,This skeptic is now a believer.,the United States,21-Feb-21,Color: Floor One S3,Verified Purchase,"I absolutely LOVE my Tineco.  I highly recommend it to anyone with pets.  I was always hesitant to purchase a machine that required a special solution/soap.  Tineco's solution is only a capful into the clean water container.  Wow, unbelievable!!!",
Lauren,5.0 out of 5 stars,Amazing Vac!,the United States,28-Jun-21,Color: Ifloor3,Verified Purchase,"This wet/dry Vac is seriously amazing. I have 2 young kids but clean very frequently. Even though we don’t allow shoes and I clean a lot, I’m constantly amazed at how much this picks up! We have all hardwood floors and this makes mopping/cleaning a breeze. I highly recommend for anyone.",
Kayla Johnson,5.0 out of 5 stars,Easy cleanup,the United States,15-Aug-21,Color: Ifloor3,Verified Purchase,"Lightweight, sleek design and easy to use. It's very easy to clean all the parts. I've been using it for over 6 months now and haven't had any issues. Picks up hair and cat fur fine, doesn't get stuck in the roller at all.This does a good job cleaning it's great for regular use. I wouldn't use it to deep clean though. I prefer to get out an actual mop, bucket and brush for that.",
W Hilton,5.0 out of 5 stars,Excellent cleaner which takes the work out cleaning wood flooring and carpet,the United States,6-Nov-20,Color: Floor One S3,Verified Purchase,"This is just a well thought out product.  I've owned other wet/dry floor cleaners but this has been the best so far. Pros: solid floor (laminate) cleaning, cordless with a docking station, and self-cleaning. Cons: clean water tanks and dirty water tanks are a bit small. The tanks are sufficient for cleaning a good size room but have to be emptied before and after self-cleaning. Would definitely purchase again.",
 CG,4.0 out of 5 stars,"A few problems, but still works well",the United States,2-Apr-21,Color: Floor One S3,Verified Purchase,"It’s nice, but could definitely be better.  The dwt is a pain in the butt to put back on. If you have pets, hair will get clogged in the debris channel, so that will have to be cleaned every few uses or more if you have multiple pets. It doesn’t do that great on dried on messes.What it does do well on is cleaning up spills and dirt brought in by pets or kids.I’ve had it a few weeks now and I use it nearly everyday.",
CPM North Ga,4.0 out of 5 stars,In love!!,the United States,15-Feb-21,Color: Floor One S3,Verified Purchase,"For hard wood floors this is a great vacuum mop!!!  It left my floors looking, feeling and smelling so good!!!  The only downside is that the water bin holds enough for a small room.  So get ready to to fill often.",
Amazon Customer,1.0 out of 5 stars,I love it BUT,the United States,13-Aug-21,Color: Ifloor3,Verified Purchase,THE CHARGING STATION IS HORRIBLE. I sent the product back to them so that they can fix it and yup they did “repair” it. It charged for at least 1 min then it went crazy again. So now I have this expensive product that I have only used probably about 5 times and now I can’t recharge it. The video attached to this is the “AFTER THEY FIXED IT”,
Amazon Customer,4.0 out of 5 stars,"Can't complain, too much",the United States,22-Oct-20,Color: Ifloor3,Verified Purchase,"Works amazing for everyday cleaning of the hard floors we have! Doesn't work so great on the old laminate floors we have as they are more grooved but thats not the tinecos fault! Just crappy flooring. The clean water tank does leak UNLEES you actually push the floater down from inside the tank with something or your finger. Super annoying but still, once figured out, I can deal with it.",
Heather,5.0 out of 5 stars,So worth the money,the United States,5-Apr-21,Color: Ifloor3,Verified Purchase,I absolutely LOVE this!!  I clean my floors more often now because I can do it all in one step!  I just thought my floors were clean until I used this and seen the dirty water in the container...YUCK!!!  After purchasing mine I have had 3 of my friends purchase!!,
Amazon Customer,5.0 out of 5 stars,Life saver! Love it!,the United States,7-Feb-21,Color: Ifloor3,Verified Purchase,"I am in total love with this machine! I have several herniated discs in my neck and back and always dreaded sweeping and mopping because it always puts me in so much pain. With this, it is a lifesaver. Very lightweight and doesn’t cause me all that pain.",
Jamie Pack,5.0 out of 5 stars,Impressive machine,the United States,28-Dec-20,Color: Ifloor3,Verified Purchase,"Even with regular sweeping and mopping of my floors, they were not as clean nor was it as easy or convenient as this machine gets it done. Very handy device and works well. You will see that it gets a lot of dirt up. Just don't expect it to pick up large debris.",One
Jes,5.0 out of 5 stars,Great for heavy shedding dogs and everything that comes with,the United States,31-Oct-20,Color: Ifloor3,Verified Purchase,"Perfect for cleaning up with animals. With the winter weather creating muddy paw prints and the puppy in potty training, this has been a life saver. It grabs the undercoat shedding, mud, water, grime and everything else. It even cleaned up dried on poop smears.Its lightweight and easy on the back. My only wish would be for bigger water tanks, but otherwise it is a self sufficient, multi purpose cleaning machine that makes life 10 times easier.My floors have never been this consistently clean!",
Lisa ,5.0 out of 5 stars,Recommend for sure,the United States,18-Apr-21,Color: Ifloor3,Verified Purchase,"I use this everyday!! I do have a pretty big home, all tile so I can't do the whole house on one charge.  The clean and dirty water containers are small so even doing half my home I need to dump dirty and refill clean water container. I don't mind it because using this makes it so much easier to clean my floors!",
Amazon Customer,3.0 out of 5 stars,Not worth how much I paid,the United States,9-May-21,Color: Floor One S3,Verified Purchase,"I wasn’t fully impressed with this product. It does great keeping your floors clean. But for as much money as it cost, it doesn’t scrub as well as I would hope. I had to clean my floors myself with a sponge on certain places to get it clean. I’m disappointed in how big the clean/dirty water tank is. I have to empty it twice before I’m even done with just my kitchen. I do like it. I just don’t think it was worth as much as I paid.",
Jeri Lee Shaw,4.0 out of 5 stars,Double duty,the United States,29-Aug-21,Color: Floor One S3,Verified Purchase,I love the fact i can do 2 things at once. I clean Airbnbs and it helps with doing 2 things at once.  B U T. Have to wash the bar alot as it doesnt really leave a clean floor. So i have backup bar for that reason.,
Yuliana Castro,2.0 out of 5 stars,Not woth it,the United States,8-Jul-21,Color: Floor One S3,Verified Purchase,This was a waste of money. It randomly  turns off on me. It leave steaks ok hard wood floor. Only thing is It's good for easy clean ups. But it doesn't  clean as well as a mop.,
Skip Buford,5.0 out of 5 stars,Best buy ever!,the United States,16-Apr-21,Color: Ifloor3,Verified Purchase,Amazing and performs in every way it describes. I have an elderly dog that goes on the hardwood floors and this takes care of the mess better than any steam mop ever did! I just wish I would have found and bought it sooner!,
][\&#47;][,1.0 out of 5 stars,Unfortunate,the United States,29-Apr-21,Color: Floor One S3,Verified Purchase,"After 7 weeks of use, the vaccum is not working-- need to call customer service. Unfortunately, their customer service number says, ""they can't take call"" and they don't have a chat function. I am sure their customer service will call my better half back within the 48 hour period stated?",One
Wendy,2.0 out of 5 stars,Do not buy this crap,the United States,17-Oct-21,Color: Floor One S3,Verified Purchase,"I bought this via Amazon in may 2021 and by September it was not working I followed everything in the manual , cared fir it  m, and I got to where it kept saying pls empty dirty water and it would shut off and there was nit debris or dirty water on tank , no water at all , I called Tineco over and over snd emailed them and got no reply … very poor member service and Amazon charged me $80 restocking fee to return it which was nice of them but it still sucked cause I got robbed",
Mere,5.0 out of 5 stars,I won’t ever go without one again!,the United States,22-Sep-21,Color: Floor One S3,Verified Purchase,"I love this machine! It cleans up just about anything my kids are laying down. It vacuums and mops easily and quickly. I love the auto detection mode that tells me if I need to go over the area a few more times. Works great on my linoleum as well as my laminate hardwood. I do wish the clean water reservoir was bigger. I have to fill it three times to do my kitchen, dining room and foyer.Also wish the head got closer to edges. It leaves about a 1/4 along the baseboard.",
Alexis Rosales,5.0 out of 5 stars,Love it!,the United States,27-Jan-21,Color: Ifloor3,Verified Purchase,"It’s easy to clean, the suction power is great, and easy to use. Get in and under things better than a normal vacuum. As far as deep cleaning I’m all about some bleach water and scrubbing the floors down. It does a great job cleaning up everything my dog and toddler leave behind but the solution isn’t strong smelling which I wish it had a stronger fragrance left behind but that’s a preference.",
Craig Cupp,5.0 out of 5 stars,"Great,  Handy,  easy to use  !!",the United States,7-Apr-21,Color: Ifloor3,Verified Purchase,This machine works great on my hardwood and tile floors. I use my dust mop first only because I want less filth when I use the wet mop machine. Floors come out shiny and beautiful and fresh smelling.,
Jillian Price,5.0 out of 5 stars,Amazing!!,the United States,6-Jan-21,Color: Floor One S3,Verified Purchase,"Perfect for everyday use! I have 2 dogs, 3 cats, 2 kids, and a husband with more tread on his boots then most people’s tires. I used it everyday/ every other day and my floors squeak when you walk on them. Passed the paper towel test with flying colors! I love it! Plus the cleaning solution smells amazing but is hard to find to buy more.",
Mike C.,5.0 out of 5 stars,Epic cleaning,the United States,20-May-21,Color: Floor One S3,Verified Purchase,I have dark stained concrete. I love the smart clean feature. The Tineco sees what I do not.,One
Brittany N Kennedy,5.0 out of 5 stars,The Best Floor Cleaner!,the United States,21-Mar-21,Color: Ifloor3,Verified Purchase,"I love it! I couldn't believe how much dirt was on my floor, until I used this Tineco I floor 3. It vacuumed and mopped the floor leaving no residue behind. My floors dried right away. I used the Tineco floor cleaner it came with. A little goes a long way.",
John M Aufiero,5.0 out of 5 stars,Excellent Hard Floor Cleaner,the United States,15-Aug-21,Color: Ifloor3,Verified Purchase,"Went with this one as opposed to the Bissel. Glad I did. Good quality cleaner easy to operate, Super light weight, Easy to clean. Self cleaning mode works good. I would recommend this product.",
Kyle Stephens,5.0 out of 5 stars,Amazing!,the United States,17-May-21,Color: Ifloor3,Verified Purchase,"I absolutely love my Tineco! So easy and light weight. My floors are so clean afterwards despite my dog and young kiddos. I recommend it to all my family and friends. It also completely disassembles super easily so you can ensure all parts are clean after use so there’s no stink! Love, love, love it!",
Elizabeth Young,5.0 out of 5 stars,Honestly one of my favorite adult purchases!,the United States,3-Aug-21,Color: Floor One S3,Verified Purchase,"I have two small kids, and several indoor pets. This has been an absolute lifesaver! I use it every evening when I am picking up before going to bed, and it works so well! The only thing I’m disappointed in is that I didn’t get one sooner!",
Marty,4.0 out of 5 stars,Worth buying,the United States,20-Dec-20,Color: Floor One S3,Verified Purchase,I love this product. I would have given it a 5 but only negatives is the dirty water tank and clean water tank are not big enough. I messaged the customer service a few days ago and no response. If there were an ability to get a larger one for each it would be totally amazing. I don't mind the added weight etc. This item is much better than the bissell crosswave.,
Nagel,5.0 out of 5 stars,Amazing vac,the United States,2-Aug-21,Color: Ifloor3,Verified Purchase,"Great vacuum, sucks up decently large debris. I've used it and done a wipe test with a paper towel and spray to see if it missed anything. Nothing missed. Only gripe is, my floors are so dirty (have 2 dogs), that I need to click the self clean button a few times before the roll is clean again. But no biggie. I'm just always amazed by how much dirt this thing finds.",
Amazon Customer,5.0 out of 5 stars,Does a great job,the United States,18-Jun-21,Color: Floor One S3,Verified Purchase,"Have not had this unit very long,  however I have used it extensively.  It does a great job without any issues, does not leave streaks, floor was left very clean without hazing. The only thing that I can say is the clean water cup is a bit on the small side,  but it does not really affect how the unit operates. I can do my house on a single charge, although my house is not huge.",
Randall L Toler,3.0 out of 5 stars,"Good unit, bad availability of cleaning solution",the United States,4-May-21,Color: Ifloor3,Verified Purchase,The machine works very well. The floors were filthy in the home we just bought and it really did a great cleaning job. The problem is the manufacturer says to only use their cleaning solution or it may damage the cleaner and the cleaning solution can't be found.,
Dhir Lotwala,5.0 out of 5 stars,It's very easy to use!,the United States,18-Aug-20,Color: Ifloor3,Verified Purchase,I'm happy about how well it worked on our kitchen floor. My husband always spilled some wine or juice on the ground. I don't have to bend my knee to wipe the stain with wet towel anymore.Wireless vacuum cleaner is a time saving. I highly recommend it if you have a wood floor and a kitchen floor like ours.,
